Início data da execução: 2023-07-05 | Início hora da execução: 16:00:24 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:00:24 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 23.42°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:20 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:20 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 29.14°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:21 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:21 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 24.7°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:22 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:22 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 27.44°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:22 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:22 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 27.92°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:23 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:23 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 24.59°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:23 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:23 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 24.15°C
Início data da execução: 2023-07-05 | Início hora da execução: 16:13:40 | Fim data da execução: 2023-07-05 | Fim hora da execução: 16:13:50 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 25.15°C
Início data da execução: 2023-07-14 | Início hora da execução: 15:35:45 | Fim data da execução: 2023-07-14 | Fim hora da execução: 15:35:45 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 22.58°C
Início data da execução: 2023-07-14 | Início hora da execução: 15:51:20 | Fim data da execução: 2023-07-14 | Fim hora da execução: 15:51:20 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 20.12°C
Início data da execução: 2023-07-14 | Início hora da execução: 15:51:29 | Fim data da execução: 2023-07-14 | Fim hora da execução: 15:51:29 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 21.58°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:02:55 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:02:55 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 23.11°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:05:57 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:05:57 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 25.74°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:06:00 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:06:00 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 22.37°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:06:10 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:06:10 | Tempo de execução: 0:00:00 | Concluído: True | Temperatura atual: 25.57°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:11:14 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:12:14 | Tempo de execução: 0:01:00 | Concluído: True | Temperatura atual: 22.52°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:26:06 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:27:06 | Tempo de execução: 0:01:00 | Concluído: True | Temperatura atual: 29.99°C
Início data da execução: 2023-07-14 | Início hora da execução: 16:31:17 | Fim data da execução: 2023-07-14 | Fim hora da execução: 16:32:17 | Tempo de execução: 0:01:00 | Concluído: True | Temperatura atual: 21.79°C
